id,idx,idxLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,task,taskLastChangedAt
01HN8X1CNZGJ0X63Y9K37NWV6V,2,2024-01-28T20:44:08.255672285Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.255672285Z,true,2024-01-28T20:46:08.846933139Z,1,2024-01-28T20:44:08.255672285Z,true,2024-01-28T20:45:08.732944133Z,2,2024-01-28T20:44:08.385834683Z,Round 2 / 9,2024-01-28T20:44:08.255672285Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.255672285Z,Chat,2024-01-28T20:44:08.255672285Z
01HN8X1CP000EXT77E0Q9CA6AH,3,2024-01-28T20:44:08.256352961Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.256352961Z,true,2024-01-28T20:47:03.022013129Z,2,2024-01-28T20:44:08.256352961Z,true,2024-01-28T20:46:08.856423993Z,2,2024-01-28T20:44:08.304557385Z,Round 3 / 9,2024-01-28T20:44:08.256352961Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.256352961Z,Chat,2024-01-28T20:44:08.256352961Z
01HN8X1CP000EXT77E177AS4R9,4,2024-01-28T20:44:08.257003927Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.257003927Z,true,2024-01-28T20:47:39.372452582Z,3,2024-01-28T20:44:08.257003927Z,true,2024-01-28T20:47:03.03509129Z,2,2024-01-28T20:44:08.382432464Z,Round 4 / 9,2024-01-28T20:44:08.257003927Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.257003927Z,Chat,2024-01-28T20:44:08.257003927Z
01HN8X1CP1EYVT5JZ72B30YT5T,7,2024-01-28T20:44:08.257537604Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.257537604Z,true,2024-01-28T20:49:39.553217494Z,6,2024-01-28T20:44:08.257537604Z,true,2024-01-28T20:48:56.325447243Z,2,2024-01-28T20:44:08.353014225Z,Round 7 / 9,2024-01-28T20:44:08.257537604Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.257537604Z,Chat,2024-01-28T20:44:08.257537604Z
01HN8X1CP2GNCDFN8J373GBM16,5,2024-01-28T20:44:08.258167855Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.258167855Z,true,2024-01-28T20:48:20.262132855Z,4,2024-01-28T20:44:08.258167855Z,true,2024-01-28T20:47:39.384297232Z,2,2024-01-28T20:44:08.341112363Z,Round 5 / 9,2024-01-28T20:44:08.258167855Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.258167855Z,Chat,2024-01-28T20:44:08.258167855Z
01HN8X1CP2GNCDFN8J3R0XCDC6,6,2024-01-28T20:44:08.258749171Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.258749171Z,true,2024-01-28T20:48:56.30716951Z,5,2024-01-28T20:44:08.258749171Z,true,2024-01-28T20:48:20.277647577Z,2,2024-01-28T20:44:08.382432464Z,Round 6 / 9,2024-01-28T20:44:08.258749171Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.258749171Z,Chat,2024-01-28T20:44:08.258749171Z
01HN8X1CP3RSQCQ96TNJAMA3EK,9,2024-01-28T20:44:08.259296667Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.259296667Z,true,2024-01-28T20:51:10.969284034Z,8,2024-01-28T20:44:08.259296667Z,true,2024-01-28T20:50:15.388197607Z,2,2024-01-28T20:44:08.353014225Z,Round 9 / 9,2024-01-28T20:44:08.259296667Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.259296667Z,Chat,2024-01-28T20:44:08.259296667Z
01HN8X1CP5HRMRBYWT0K687TMD,8,2024-01-28T20:44:08.26150778Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:44:08.26150778Z,true,2024-01-28T20:50:15.371761318Z,7,2024-01-28T20:44:08.26150778Z,true,2024-01-28T20:49:39.575223048Z,2,2024-01-28T20:44:08.367804933Z,Round 8 / 9,2024-01-28T20:44:08.26150778Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:44:08.26150778Z,Chat,2024-01-28T20:44:08.26150778Z
01HN8X3AWMVFM36TT1AY3TTX4J,1,2024-01-28T20:45:11.956383601Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.956383601Z,true,2024-01-28T20:45:41.600857599Z,0,2024-01-28T20:45:11.956383601Z,true,2024-01-28T20:45:12.126899172Z,1,2024-01-28T20:45:12.031624564Z,Round 1 / 9,2024-01-28T20:45:11.956383601Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.956383601Z,Chat,2024-01-28T20:45:11.956383601Z
01HN8X3AWP9PA6EVFSEKS7RSFZ,2,2024-01-28T20:45:11.95828358Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.95828358Z,true,2024-01-28T20:45:59.195515388Z,1,2024-01-28T20:45:11.95828358Z,true,2024-01-28T20:45:41.614170182Z,1,2024-01-28T20:45:12.025193907Z,Round 2 / 9,2024-01-28T20:45:11.95828358Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.95828358Z,Chat,2024-01-28T20:45:11.95828358Z
01HN8X3AWQ1DXJGNBZGS34FJT7,5,2024-01-28T20:45:11.959337304Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.959337304Z,true,2024-01-28T20:46:41.65644644Z,4,2024-01-28T20:45:11.959337304Z,true,2024-01-28T20:46:34.326623113Z,1,2024-01-28T20:45:12.049078243Z,Round 5 / 9,2024-01-28T20:45:11.959337304Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.959337304Z,Chat,2024-01-28T20:45:11.959337304Z
01HN8X3AWR8G23W3C6NZ48ZD0Z,3,2024-01-28T20:45:11.960139495Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.960139495Z,true,2024-01-28T20:46:19.946321829Z,2,2024-01-28T20:45:11.960139495Z,true,2024-01-28T20:45:59.203982688Z,1,2024-01-28T20:45:12.013444167Z,Round 3 / 9,2024-01-28T20:45:11.960139495Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.960139495Z,Chat,2024-01-28T20:45:11.960139495Z
01HN8X3AWSVDYWKHEET78816PA,4,2024-01-28T20:45:11.961041898Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.961041898Z,true,2024-01-28T20:46:34.316653744Z,3,2024-01-28T20:45:11.961041898Z,true,2024-01-28T20:46:19.954705306Z,1,2024-01-28T20:45:12.031624564Z,Round 4 / 9,2024-01-28T20:45:11.961041898Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.961041898Z,Chat,2024-01-28T20:45:11.961041898Z
01HN8X3AWSVDYWKHEETS7SYJKD,6,2024-01-28T20:45:11.961838983Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.961838983Z,true,2024-01-28T20:46:53.374810711Z,5,2024-01-28T20:45:11.961838983Z,true,2024-01-28T20:46:41.66799573Z,1,2024-01-28T20:45:12.056882279Z,Round 6 / 9,2024-01-28T20:45:11.961838983Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.961838983Z,Chat,2024-01-28T20:45:11.961838983Z
01HN8X3AWT6GG1ZTMX5DSCTEA7,8,2024-01-28T20:45:11.962685569Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.962685569Z,true,2024-01-28T20:47:19.800306001Z,7,2024-01-28T20:45:11.962685569Z,true,2024-01-28T20:47:03.794589655Z,1,2024-01-28T20:45:12.061864653Z,Round 8 / 9,2024-01-28T20:45:11.962685569Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.962685569Z,Chat,2024-01-28T20:45:11.962685569Z
01HN8X3AWV3SAAS24SKJPM8PF3,7,2024-01-28T20:45:11.963452703Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.963452703Z,true,2024-01-28T20:47:03.778300237Z,6,2024-01-28T20:45:11.963452703Z,true,2024-01-28T20:46:53.38583303Z,1,2024-01-28T20:45:12.061864653Z,Round 7 / 9,2024-01-28T20:45:11.963452703Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.963452703Z,Chat,2024-01-28T20:45:11.963452703Z
01HN8X3AWWXJ5VCP5DM6PA1G2E,9,2024-01-28T20:45:11.964261488Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:11.964261488Z,true,2024-01-28T20:47:37.034209822Z,8,2024-01-28T20:45:11.964261488Z,true,2024-01-28T20:47:19.812382627Z,1,2024-01-28T20:45:12.013444167Z,Round 9 / 9,2024-01-28T20:45:11.964261488Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:11.964261488Z,Chat,2024-01-28T20:45:11.964261488Z
01HN8X590RAW6CPYQSY0PXHEZ2,1,2024-01-28T20:46:15.576364641Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.576364641Z,true,2024-01-28T20:47:09.607603109Z,0,2024-01-28T20:46:15.576364641Z,true,2024-01-28T20:46:15.666910832Z,2,2024-01-28T20:46:15.666910832Z,Round 1 / 9,2024-01-28T20:46:15.576364641Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.576364641Z,Chat,2024-01-28T20:46:15.576364641Z
01HN8X590STJDAPY4GPM0F1V70,3,2024-01-28T20:46:15.577878046Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.577878046Z,true,2024-01-28T20:49:09.926393374Z,2,2024-01-28T20:46:15.577878046Z,true,2024-01-28T20:48:09.773643884Z,2,2024-01-28T20:46:15.668643157Z,Round 3 / 9,2024-01-28T20:46:15.577878046Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.577878046Z,Chat,2024-01-28T20:46:15.577878046Z
01HN8X590V8RBZCFJ3TQPY1HJ9,2,2024-01-28T20:46:15.579266362Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.579266362Z,true,2024-01-28T20:48:09.760690035Z,1,2024-01-28T20:46:15.579266362Z,true,2024-01-28T20:47:09.622237177Z,2,2024-01-28T20:46:15.675403247Z,Round 2 / 9,2024-01-28T20:46:15.579266362Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.579266362Z,Chat,2024-01-28T20:46:15.579266362Z
01HN8X5918F81Y6FFE51CHGK19,4,2024-01-28T20:46:15.592899294Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.592899294Z,true,2024-01-28T20:50:10.111420264Z,3,2024-01-28T20:46:15.592899294Z,true,2024-01-28T20:49:09.940374522Z,2,2024-01-28T20:46:15.668643157Z,Round 4 / 9,2024-01-28T20:46:15.592899294Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.592899294Z,Chat,2024-01-28T20:46:15.592899294Z
01HN8X591AMBV8067ANQ0HGF7Q,5,2024-01-28T20:46:15.594119525Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.594119525Z,true,2024-01-28T20:50:47.51838441Z,4,2024-01-28T20:46:15.594119525Z,true,2024-01-28T20:50:10.124260277Z,2,2024-01-28T20:46:15.675403247Z,Round 5 / 9,2024-01-28T20:46:15.594119525Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.594119525Z,Chat,2024-01-28T20:46:15.594119525Z
01HN8X591CRPPMT7SZ5JVK0DD5,7,2024-01-28T20:46:15.596175761Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.596175761Z,true,2024-01-28T20:52:09.602317981Z,6,2024-01-28T20:46:15.596175761Z,true,2024-01-28T20:51:26.347653851Z,2,2024-01-28T20:46:15.756460083Z,Round 7 / 9,2024-01-28T20:46:15.596175761Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.596175761Z,Chat,2024-01-28T20:46:15.596175761Z
01HN8X591D1BYXQBVHTKF6HM4M,6,2024-01-28T20:46:15.597537151Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.597537151Z,true,2024-01-28T20:51:26.330416694Z,5,2024-01-28T20:46:15.597537151Z,true,2024-01-28T20:50:47.533456129Z,2,2024-01-28T20:46:15.756460083Z,Round 6 / 9,2024-01-28T20:46:15.597537151Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.597537151Z,Chat,2024-01-28T20:46:15.597537151Z
01HN8X591EEPJ68HXE9046E3F6,9,2024-01-28T20:46:15.598743969Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.598743969Z,true,2024-01-28T20:54:10.267409501Z,8,2024-01-28T20:46:15.598743969Z,true,2024-01-28T20:53:09.954794775Z,2,2024-01-28T20:46:15.687024702Z,Round 9 / 9,2024-01-28T20:46:15.598743969Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.598743969Z,Chat,2024-01-28T20:46:15.598743969Z
01HN8X591H2JV5DK7JR85N35RK,8,2024-01-28T20:46:15.601845786Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:46:15.601845786Z,true,2024-01-28T20:53:09.931341461Z,7,2024-01-28T20:46:15.601845786Z,true,2024-01-28T20:52:09.630433349Z,2,2024-01-28T20:46:15.737947399Z,Round 8 / 9,2024-01-28T20:46:15.601845786Z,01HN8VW75MDMST7DFQ91AXRDPK,2024-01-28T20:46:15.601845786Z,Chat,2024-01-28T20:46:15.601845786Z
01HN8X78STRWHSD4YSD0BXRN1W,2,2024-01-28T20:47:20.89023578Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.89023578Z,true,2024-01-28T20:49:21.583713962Z,1,2024-01-28T20:47:20.89023578Z,true,2024-01-28T20:48:21.460378166Z,2,2024-01-28T20:47:20.980964155Z,Round 2 / 9,2024-01-28T20:47:20.89023578Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.89023578Z,Chat,2024-01-28T20:47:20.89023578Z
01HN8X78SWMFM26SARBN91ZFXH,3,2024-01-28T20:47:20.892226566Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.892226566Z,true,2024-01-28T20:50:21.756015894Z,2,2024-01-28T20:47:20.892226566Z,true,2024-01-28T20:49:21.59679267Z,2,2024-01-28T20:47:20.980964155Z,Round 3 / 9,2024-01-28T20:47:20.892226566Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.892226566Z,Chat,2024-01-28T20:47:20.892226566Z
01HN8X78SXHDXMNE76BX284A0S,1,2024-01-28T20:47:20.893886478Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.893886478Z,true,2024-01-28T20:48:21.448717886Z,0,2024-01-28T20:47:20.893886478Z,true,2024-01-28T20:47:21.071556437Z,2,2024-01-28T20:47:20.99300096Z,Round 1 / 9,2024-01-28T20:47:20.893886478Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.893886478Z,Chat,2024-01-28T20:47:20.893886478Z
01HN8X78T0KZGSARQKHP29XCZ0,4,2024-01-28T20:47:20.89659685Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.89659685Z,true,2024-01-28T20:51:08.118223793Z,3,2024-01-28T20:47:20.89659685Z,true,2024-01-28T20:50:21.770568432Z,2,2024-01-28T20:47:21.020804169Z,Round 4 / 9,2024-01-28T20:47:20.89659685Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.89659685Z,Chat,2024-01-28T20:47:20.89659685Z
01HN8X78T1QT0WD8RQKREPCXYY,5,2024-01-28T20:47:20.897855724Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.897855724Z,true,2024-01-28T20:51:57.636012458Z,4,2024-01-28T20:47:20.897855724Z,true,2024-01-28T20:51:08.133678908Z,2,2024-01-28T20:47:21.135482254Z,Round 5 / 9,2024-01-28T20:47:20.897855724Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.897855724Z,Chat,2024-01-28T20:47:20.897855724Z
01HN8X78T33W2FZ90EAF2HJV4V,6,2024-01-28T20:47:20.899242292Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.899242292Z,true,2024-01-28T20:52:38.583067654Z,5,2024-01-28T20:47:20.899242292Z,true,2024-01-28T20:51:57.658284795Z,2,2024-01-28T20:47:21.135482254Z,Round 6 / 9,2024-01-28T20:47:20.899242292Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.899242292Z,Chat,2024-01-28T20:47:20.899242292Z
01HN8X78T41AY1A8K1R7AMAKA2,9,2024-01-28T20:47:20.900559066Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.900559066Z,true,2024-01-28T20:54:45.426257487Z,8,2024-01-28T20:47:20.900559066Z,true,2024-01-28T20:54:05.672734657Z,2,2024-01-28T20:47:21.085046252Z,Round 9 / 9,2024-01-28T20:47:20.900559066Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.900559066Z,Chat,2024-01-28T20:47:20.900559066Z
01HN8X78T61E9G62B8JQ0RNTSR,7,2024-01-28T20:47:20.902549754Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.902549754Z,true,2024-01-28T20:53:21.141362617Z,6,2024-01-28T20:47:20.902549754Z,true,2024-01-28T20:52:38.606775136Z,2,2024-01-28T20:47:20.984766903Z,Round 7 / 9,2024-01-28T20:47:20.902549754Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.902549754Z,Chat,2024-01-28T20:47:20.902549754Z
01HN8X78T958F33QWWT0Y8BDM1,8,2024-01-28T20:47:20.905958485Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:47:20.905958485Z,true,2024-01-28T20:54:05.596241053Z,7,2024-01-28T20:47:20.905958485Z,true,2024-01-28T20:53:21.166802216Z,2,2024-01-28T20:47:21.085046252Z,Round 8 / 9,2024-01-28T20:47:20.905958485Z,01HN8VW97MVT36F4VQ6ZP5JHG2,2024-01-28T20:47:20.905958485Z,Chat,2024-01-28T20:47:20.905958485Z
01HN8X9DG2VJ3BCPQBQTWPR1CD,1,2024-01-28T20:48:31.234597651Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:48:31.234597651Z,true,2024-01-28T20:49:01.598295246Z,0,2024-01-28T20:48:31.234597651Z,true,2024-01-28T20:48:31.330638594Z,1,2024-01-28T20:48:31.292618833Z,Round 1 / 9,2024-01-28T20:48:31.234597651Z,01HN8VW97KJKRFEF2RNBQ2ZCQ5,2024-01-28T20:48:31.234597651Z,Chat,2024-01-28T20:48:31.234597651Z
01HN8X9DG6MGN1XZN4DD3DRHTF,2,2024-01-28T20:48:31.238446598Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:48:31.238446598Z,true,2024-01-28T20:49:29.729307043Z,1,2024-01-28T20:48:31.238446598Z,true,2024-01-28T20:49:01.613915128Z,1,2024-01-28T20:48:31.31166493Z,Round 2 / 9,2024-01-28T20:48:31.238446598Z,01HN8VW97KJKRFEF2RNBQ2ZCQ5,2024-01-28T20:48:31.238446598Z,Chat,2024-01-28T20:48:31.238446598Z
01HN8X9DG8DR822VPAQMNPXC6Y,3,2024-01-28T20:48:31.240254507Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:48:31.240254507Z,true,2024-01-28T20:49:59.846958311Z,2,2024-01-28T20:48:31.240254507Z,true,2024-01-28T20:49:29.744020952Z,1,2024-01-28T20:48:31.342671725Z,Round 3 / 9,2024-01-28T20:48:31.240254507Z,01HN8VW97KJKRFEF2RNBQ2ZCQ5,2024-01-28T20:48:31.240254507Z,Chat,2024-01-28T20:48:31.240254507Z
01HN8X9DG9NV9VP96MD8ZED58E,4,2024-01-28T20:48:31.24231848Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:48:31.24231848Z,true,2024-01-28T20:50:13.419353633Z,3,2024-01-28T20:48:31.24231848Z,true,2024-01-28T20:49:59.862185952Z,1,2024-01-28T20:48:31.414612078Z,Round 4 / 9,2024-01-28T20:48:31.24231848Z,01HN8VW97KJKRFEF2RNBQ2ZCQ5,2024-01-28T20:48:31.24231848Z,Chat,2024-01-28T20:48:31.24231848Z
01HN8X9DGJTZV0RE4V1VKNNCRW,6,2024-01-28T20:48:31.2509526Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:48:31.2509526Z,true,2024-01-28T20:50:36.750847508Z,5,2024-01-28T20:48:31.2509526Z,true,2024-01-28T20:50:23.222264215Z,1,2024-01-28T20:48:31.43285348Z,Round 6 / 9,2024-01-28T20:48:31.2509526Z,01HN8VW97KJKRFEF2RNBQ2ZCQ5,2024-01-28T20:48:31.2509526Z,Chat,2024-01-28T20:48:31.2509526Z
01HN8X9DGMN7VFWQHV7H2WA7FG,5,2024-01-28T20:48:31.25261905Z,01HN8VW97B7RVYGZYTEJRJCHEC,2024-01-28T20:48:31.25261905Z,true,2024-01-28T20:50:23.207272875Z,4,2024-01-28T20:48:31.25261905Z,true,2024-01-28T20:50:13.439363999Z,1,2024-01-28T20:48:31.31166493Z,Round 5 / 9,2024-01-28T20:48:31.25261905Z,01HN8VW97KJKRFEF2RNBQ2ZCQ5,2024-01-28T20:48:31.25261905Z,Chat,2024-01-28T20:48:31.25261905Z
